"64","17","25","LA NUEVA PRIMAVERA",,,"2189","-72411","1",NULL,NULL,NULL
"65","17","25","LA CRISTALINA",,,"23317","-7262815","1",NULL,NULL,NULL
"66","17","25","MIROLINDO",,,"2.26","-72799","1",NULL,NULL,NULL
"67","17","25","LA FORTALEZA",,,"21232915043","-726378989145","1",NULL,NULL,NULL
"68","17","25","SAN LUCAS",,,"219351233053","-72833194556","1",NULL,NULL,NULL
"69","17","25","MORICHAL VIEJO",,,"22186","-700318","1",NULL,NULL,NULL
"70","17","25","CERRITOS",,,"232890483199","-727613318114","1",NULL,NULL,NULL
"71","17","25","EL UNILLA",,,"21988955311","-72745979474","1",NULL,NULL,NULL
"72","17","25","LA LIBERTAD",,,"218407160652","-726472154493","1",NULL,NULL,NULL
"73","17","25","EL RETORNO",,"951001","233016154912","-726271859933","1",NULL,NULL,NULL
"74","17","15","LAS DAMAS",,,"207844612429","-72640408523","1",NULL,NULL,NULL
"75","17","15","LA UNION",,,"1806","-72.4","1",NULL,NULL,NULL
"76","17","15","CALAMAR",,,"196010863321","-72655171997","1",NULL,NULL,NULL
"77","17","1","LA CATALINA",,,,,"1",NULL,NULL,NULL
"78","17","1","MIRALINDO",,,,,"1",NULL,NULL,NULL
"79","17","1","VILLA ALEJANDRA 2",,,,,"1",NULL,NULL,NULL
"80","17","1","VILLA ALEJANDRA",,,"256177591393","-726146055319","1",NULL,NULL,NULL
"81","17","1","EL MORRO",,,"259064440791","-72412385394","1",NULL,NULL,NULL
"82","17","1","TIENDA NUEVA",,,"255440623056","-7244236537","1",NULL,NULL,NULL
"83","17","1","SANTO DOMINGO",,,"25762594667","-726197044451","1",NULL,NULL,NULL
"84","17","1","PICALOJO",,,"234815602908","-729431132488","1",NULL,NULL,NULL
"85","17","1","LA ESMERALDA",,,"256466536461","-723162819075","1",NULL,NULL,NULL
"86","17","1","EL TRIUNFO",,,"23823496769","-727784626472","1",NULL,NULL,NULL
"87","17","1","EL REFUGIO",,,"256933507096","-725990612279","1",NULL,NULL,NULL
"88","17","1","EL DIAMANTE",,,"257640370627","-726155775498","1",NULL,NULL,NULL
"89","17","1","CERRO AZUL",,,"254154487939","-728424030391","1",NULL,NULL,NULL
"90","17","1","CANO BLANCO II",,,"255552522461","-723507582986","1",NULL,NULL,NULL
"91","17","1","RESBALON",,,"254646516743","-724817584311","1",NULL,NULL,NULL
"92","17","1","LAS ACACIAS",,,"241176478512","-725367695452","1",NULL,NULL,NULL
"93","17","1","BOQUERON",,,"262036323697","-723290638494","1",NULL,NULL,NULL
"94","17","1","LA CARPA",,,"246499942518","-729316183545","1",NULL,NULL,NULL
"95","17","1","MOCUARE",,,"286913331015","-715342899769","1",NULL,NULL,NULL
"96","17","1","TOMACHIPAN",,,"227440091037","-717723196645","1",NULL,NULL,NULL
