"id","codigo_dian","nombre","abreviatura","created_at","updated_at","deleted_at"
119,"399","JAPON","JPN",NULL,NULL,NULL
118,"391","JAMAICA","JAM",NULL,NULL,NULL
117,"386","ITALIA","ITA",NULL,NULL,NULL
116,"383","ISRAEL","ISR",NULL,NULL,NULL
115,"875","ISLAS WALLIS Y FORTUNA","WLF",NULL,NULL,NULL
114,"866","ISLAS VIRGENES (NORTEAMERICANAS)","VIR",NULL,NULL,NULL
113,"863","ISLAS VIRGENES (BRITANICAS)","VGB",NULL,NULL,NULL
112,"823","ISLAS TURCAS Y CAICOS","TCA",NULL,NULL,NULL
111,"677","ISLAS SALOMON","SLB",NULL,NULL,NULL
110,"578","ISLAS PALAU","PLW",NULL,NULL,NULL
109,"511","ISLAS NAVIDAD","CXR",NULL,NULL,NULL
108,"472","ISLAS MARSHALL","MHL",NULL,NULL,NULL
107,"469","ISLAS MARIANAS DEL NORTE","MNP",NULL,NULL,NULL
106,"259","ISLAS FEROE","FRO",NULL,NULL,NULL
105,"183","ISLAS COOK","COK",NULL,NULL,NULL
104,"165","ISLAS COCOS","CCK",NULL,NULL,NULL
103,"137","ISLAS CAIMAN","CYM",NULL,NULL,NULL
102,"593","ISLA PITCAIRN","PCN",NULL,NULL,NULL
101,"535","ISLA NORFOLK","NKF",NULL,NULL,NULL
100,"531","ISLA NIUE","NIU",NULL,NULL,NULL
99,"379","ISLANDIA","ISL",NULL,NULL,NULL
98,"501","ISLA MONSERRAT","MSR",NULL,NULL,NULL
97,"375","IRLANDA","IRL",NULL,NULL,NULL
96,"372","IRAN","IRN",NULL,NULL,NULL
95,"369","IRAK","IRQ",NULL,NULL,NULL
94,"365","INDONESIA","IDN",NULL,NULL,NULL
93,"361","INDIA","IND",NULL,NULL,NULL
92,"355","HUNGRIA","HUN",NULL,NULL,NULL
91,"351","HONG KONG","HKG",NULL,NULL,NULL
90,"345","HONDURAS","HND",NULL,NULL,NULL
89,"573","HOLANDA","NLD",NULL,NULL,NULL
88,"341","HAITI","HTI",NULL,NULL,NULL
87,"331","GUINEA ECUATORIAL","GNQ",NULL,NULL,NULL
86,"334","GUINEA BISSAU","GNB",NULL,NULL,NULL
85,"329","GUINEA","GIN",NULL,NULL,NULL
84,"325","GUAYANA FRANCESA","GUF",NULL,NULL,NULL
83,"337","GUAYANA","GUY",NULL,NULL,NULL
82,"317","GUATEMALA","GTM",NULL,NULL,NULL
81,"313","GUAM","GUM",NULL,NULL,NULL
80,"309","GUADALUPE","FRA",NULL,NULL,NULL
79,"305","GROENLANDIA","GTM",NULL,NULL,NULL
78,"301","GRECIA","GRC",NULL,NULL,NULL
77,"297","GRANADA","GRD",NULL,NULL,NULL
76,"293","GIBRALTAR","GRB",NULL,NULL,NULL
75,"289","GHANA","GHA",NULL,NULL,NULL
74,"287","GEORGIA","GEO",NULL,NULL,NULL
73,"285","GAMBIA","GMB",NULL,NULL,NULL
72,"281","GABON","GAB",NULL,NULL,NULL
71,"275","FRANCIA","FRA",NULL,NULL,NULL
70,"271","FINLANDIA","FIN",NULL,NULL,NULL
69,"267","FILIPINAS","PHL",NULL,NULL,NULL
68,"870","FIJI","FJI",NULL,NULL,NULL
67,"253","ETIOPIA","ETH",NULL,NULL,NULL
66,"251","ESTONIA","EST",NULL,NULL,NULL
65,"249","ESTADOS UNIDOS","USA",NULL,NULL,NULL
64,"245","ESPAÑA","ESP",NULL,NULL,NULL
63,"247","ESLOVENIA","SVN",NULL,NULL,NULL
62,"246","ESLOVAQUIA","SVK",NULL,NULL,NULL
61,"243","ERITREA","ERI",NULL,NULL,NULL
60,"244","EMIRATOS ARABES UNIDOS","ARE",NULL,NULL,NULL
59,"242","EL SALVADOR","SLV",NULL,NULL,NULL
58,"240","EGIPTO","EGY",NULL,NULL,NULL
57,"239","ECUADOR","ECU",NULL,NULL,NULL
56,"235","DOMINICA","DMA",NULL,NULL,NULL
55,"783","DJIBOUTI","DJI",NULL,NULL,NULL
54,"232","DINAMARCA","DNK",NULL,NULL,NULL
53,"199","CUBA","CUB",NULL,NULL,NULL
52,"198","CROACIA","HRV",NULL,NULL,NULL
51,"196","COSTA RICA","CRI",NULL,NULL,NULL
50,"193","COSTA DE MARFIL","CIV",NULL,NULL,NULL
49,"190","COREA DEL SUR","PRK",NULL,NULL,NULL
48,"187","COREA DEL NORTE","KOR",NULL,NULL,NULL
47,"888","CONGO","CGO",NULL,NULL,NULL
46,"177","CONGO","COG",NULL,NULL,NULL
45,"173","COMORAS","COM",NULL,NULL,NULL
44,"169","COLOMBIA","COL",NULL,NULL,NULL
43,"221","CHIPRE","CYP",NULL,NULL,NULL
42,"215","CHINA","CHN",NULL,NULL,NULL
41,"211","CHILE","CHL",NULL,NULL,NULL
40,"203","CHAD","TCD",NULL,NULL,NULL
39,"149","CANADA","CAN",NULL,NULL,NULL
38,"145","CAMERUN","CMR",NULL,NULL,NULL
37,"141","CAMBOYA","KHM",NULL,NULL,NULL
36,"127","CABO VERDE","CPV",NULL,NULL,NULL
35,"119","BUTAN","BTN",NULL,NULL,NULL
34,"115","BURUNDI","BDI",NULL,NULL,NULL
33,"31","BURKINA FASSO","BFA",NULL,NULL,NULL
32,"111","BULGARIA","BGR",NULL,NULL,NULL
31,"108","BRUNEI DARUSSALAM","BRN",NULL,NULL,NULL
30,"105","BRASIL","BRA",NULL,NULL,NULL
29,"101","BOTSWANA","BWA",NULL,NULL,NULL
28,"29","BOSNIA Y HERZEGOVINA","BIH",NULL,NULL,NULL
27,"97","BOLIVIA","BOL",NULL,NULL,NULL
26,"93","BIRMANIA","MMR",NULL,NULL,NULL
25,"90","BERMUDAS","GRB",NULL,NULL,NULL
24,"229","BENIN","BEN",NULL,NULL,NULL
23,"88","BELICE","BLZ",NULL,NULL,NULL
22,"87","BELGICA","BEL",NULL,NULL,NULL
21,"91","BELARUS","BLR",NULL,NULL,NULL
20,"83","BARBADOS","BRB",NULL,NULL,NULL
19,"81","BANGLADESH","BGD",NULL,NULL,NULL
18,"80","BAHREIN","BHR",NULL,NULL,NULL
17,"77","BAHAMAS","BHS",NULL,NULL,NULL
16,"74","AZERBAIJAN","AZE",NULL,NULL,NULL
15,"72","AUSTRIA","AUT",NULL,NULL,NULL
14,"69","AUSTRALIA","AUS",NULL,NULL,NULL
13,"27","ARUBA","ABW",NULL,NULL,NULL
12,"26","ARMENIA","ARM",NULL,NULL,NULL
11,"63","ARGENTINA","ARG",NULL,NULL,NULL
10,"59","ARGELIA","DZA",NULL,NULL,NULL
9,"53","ARABIA SAUDITA","SAU",NULL,NULL,NULL
8,"47","ANTILLAS HOLANDESAS","ANT",NULL,NULL,NULL
7,"43","ANTIGUA Y BARBUDA","ATG",NULL,NULL,NULL
6,"41","ANGUILLA","GRB",NULL,NULL,NULL
5,"40","ANGOLA","AGO",NULL,NULL,NULL
4,"37","ANDORRA","AND",NULL,NULL,NULL
3,"23","ALEMANIA","DEU",NULL,NULL,NULL
2,"17","ALBANIA","ALB",NULL,NULL,NULL
1,"13","AFGANISTAN","AFG",NULL,NULL,NULL
